order_id,delivery_date,shop_name,amount
79862,1/4/2022,Radiance Boutique,44.74
38506,1/3/2022,Pizza Factor,15.37
98586,1/1/2022,Swap Shop,37.07
28835,1/2/2022,Aloha Art,23.68
49173,1/2/2022,Party Plex,39.33
66161,1/1/2022,Party Plex,37.7
35332,1/1/2022,Radiance Boutique,37.62
59419,1/4/2022,Acorn Crafts,48.05
78723,1/4/2022,Pizza Factor,41.94
75687,1/2/2022,Party Plex,12.67
79592,1/2/2022,Acorn Crafts,23.71
51439,1/5/2022,Radiance Boutique,41.77
84288,1/1/2022,Spa Paragon,19.28
38059,1/2/2022,Party Plex,44.55
43438,1/5/2022,Aloha Art,10.53
95559,1/4/2022,GameDay Catering,29.73
94299,1/3/2022,Aloha Art,33.79
89752,1/1/2022,Swap Shop,31.23
29017,1/2/2022,Acorn Crafts,36.31
65728,1/5/2022,GameDay Catering,13.14
80182,1/1/2022,Acorn Crafts,12.71
79700,1/3/2022,Spa Paragon,17.9
22153,1/2/2022,Castaway Shop,40.28
