order_id,delivery_date,shopname,amount
80366,1/3/2022,Pizza Factor,22.06
80366,1/4/2022,Radiance Boutique,39.1
49525,1/5/2022,GameDay Catering,33.87
58405,1/5/2022,Castaway Shop,"47,52"
80366,1/4/2022,Spa Paragon,"48,74"
14781,1/4/2022,Aloha Art,"23,84"
30338,1/3/2022,Spa Paragon,"47,42"
84565,1/3/2022,Pizza Factor,42.46
26723,1/5/2022,Spa Paragon,21.51
37973,1/4/2022,Swap Shop,49.66
72759,1/1/2022,Radiance Boutique,26.56
25022,1/2/2022,Aloha Art,13.45
22603,1/4/2022,Aloha Art,"12,07"
22603,1/5/2022,Swap Shop,"32,92"
91275,1/5/2022,Swap Shop,"45,97"
23992,1/3/2022,Radiance Boutique,"39,9"
94989,1/5/2022,Swap Shop,"44,87"
94989,1/1/2022,Party Plex,31.12
37462,1/3/2022,Swap Shop,10.56
64791,1/5/2022,Acorn Crafts,11.53
53169,1/1/2022,Swap Shop,32.21
27286,1/2/2022,Acorn Crafts,37.22
